county,species,mean_birds,% gardens,rank_birds
Dorset,Redpoll,0.03,0.83,47
Dorset,Marsh tit,0.02,1.69,48
Dorset,Moorhen,0.02,1.05,49
Dorset,Lesser spotted woodpecker,0.02,1.75,50
Dorset,Treecreeper,0.02,1.75,51
Dorset,Stock dove,0.01,0.46,52
Dorset,Red legged partridge,0.01,0,53
Dorset,Chiffchaff,0.01,0.73,54
Dorset,Redwing,0.01,0.51,55
Dorset,Raven,0.01,0.56,56
Dorset,Willow tit,0.01,0.59,57
Dorset,Grey heron,0.01,0.89,58
Dorset,Kestrel,0.01,0.67,59
Dorset,Linnet,0.01,0.24,60
Dorset,Barn owl,0,0.27,61
Dorset,Great black backed gull,0,0.16,62
Dorset,Tawny owl,0,0.24,63
Dorset,Corn bunting,0,0.13,64
Dorset,Waxwing,0,0.05,65
Dorset,Lesser black backed gull,0,0.11,66
Dorset,Red Kite,0,0.11,67
Dorset,Black redstart,0,0.11,68
Dorset,Grey partridge,0,0.05,69
Dorset,Little owl,0,0.11,70
Dorset,Skylark,0,0.08,71
Dorset,Meadow pipit,0,0.08,72
Dorset,Hooded crow,0,0,73
Down,Starling,5.33,65.99,1
Down,House Sparrow,4.88,67.17,2
Down,Chaffinch,3.48,69.41,3
Down,Blackbird,2.86,93.05,4
Down,Goldfinch,2.54,37.65,5
Down,Blue Tit,2.43,79.25,6
Down,Great Tit,1.92,67.7,7
Down,Coal Tit,1.84,65.88,8
Down,Collared Dove,1.61,56.68,9
Down,Robin,1.46,88.34,10
Down,Magpie,1.32,60.53,11
Down,Jackdaw,1.21,28.7,12
Down,Woodpigeon,0.99,41.6,13
Down,Rook,0.9,10.84,14
Down,Carrion crow,0.89,19.39,15
Down,Dunnock,0.82,43.74,16
Down,Long tailed tit,0.76,15.74,17
Down,Greenfinch,0.74,28.88,18
Down,Feral pigeon,0.72,16.34,19
Down,Redpoll,0.43,10.84,20
Down,Siskin,0.42,12.98,21
Down,Common gull,0.37,6.87,22
Down,Wren,0.35,24.69,23
Down,Song.Thrush,0.33,24.54,24
Down,Tree sparrow,0.3,7.02,25
Down,Pied wagtail,0.21,11.91,26
Down,Blackcap,0.2,13.74,27
Down,Bullfinch,0.18,9.01,28
Down,Hooded crow,0.16,6.11,29
Down,Herring gull,0.16,2.44,30
Down,Linnet,0.15,3.21,31
Down,Pheasant,0.13,5.8,32
Down,Black headed gull,0.09,2.44,33
Down,Jay,0.09,6.11,34
Down,Brambling,0.07,2.75,35
Down,Goldcrest,0.06,3.51,36
Down,Fieldfare,0.06,1.07,37
Down,Buzzard,0.06,3.66,38
Down,Waxwing,0.05,0.92,39
Down,Ring necked parakeet,0.05,0.46,40
Down,Sparrowhawk,0.04,3.66,41
Down,Mistle thrush,0.04,2.44,42
Down,Grey wagtail,0.03,2.14,43
Down,Reed bunting,0.03,0.61,44
Down,Raven,0.02,1.07,45
Down,Treecreeper,0.02,1.53,46
Down,Yellowhammer,0.02,1.07,47
Down,Chiffchaff,0.02,0.61,48
Down,Great black backed gull,0.01,0.46,49
Down,Grey heron,0.01,0.76,50
Down,Moorhen,0.01,0.46,51
Down,Stock dove,0.01,0.46,52
Down,Marsh tit,0.01,0.15,53
Down,Kestrel,0,0.46,54
Down,Great spotted woodpecker,0,0.15,55
Down,Barn owl,0,0,56
Down,Black redstart,0,0,57
Down,Corn bunting,0,0,58
Down,Green woodpecker,0,0,59
Down,Grey partridge,0,0,60
Down,Lapwing,0,0,61
Down,Lesser black backed gull,0,0,62
Down,Lesser spotted woodpecker,0,0,63
Down,Little owl,0,0,64
Down,Mallard,0,0,65
Down,Meadow pipit,0,0,66
Down,Nuthatch,0,0,67
Down,Red Kite,0,0,68
Down,Red legged partridge,0,0,69
Down,Redwing,0,0,70
Down,Skylark,0,0,71
Down,Tawny owl,0,0,72
Down,Willow tit,0,0,73
Dumfries & Galloway,Chaffinch,8.9,88.99,1
Dumfries & Galloway,House Sparrow,6.44,79.17,2
Dumfries & Galloway,Blackbird,3.47,94.83,3
Dumfries & Galloway,Blue Tit,3.17,85.86,4
Dumfries & Galloway,Starling,2.92,40.81,5
Dumfries & Galloway,Coal Tit,2.44,72.14,6
Dumfries & Galloway,Great Tit,2.07,69.52,7
Dumfries & Galloway,Robin,1.7,94.5,8
Dumfries & Galloway,Dunnock,1.42,58.93,9
Dumfries & Galloway,Collared Dove,1.32,49.28,10
Dumfries & Galloway,Goldfinch,1.32,28.79,11
Dumfries & Galloway,Woodpigeon,1.29,42,12
Dumfries & Galloway,Carrion crow,1.25,36.48,13
Dumfries & Galloway,Greenfinch,0.96,30.82,14
Dumfries & Galloway,Long tailed tit,0.95,16.85,15
Dumfries & Galloway,Jackdaw,0.76,20.1,16
Dumfries & Galloway,Rook,0.51,7.66,17
Dumfries & Galloway,Pheasant,0.51,18.66,18
Dumfries & Galloway,Siskin,0.5,15.79,19
Dumfries & Galloway,Feral pigeon,0.43,11.84,20
Dumfries & Galloway,Great spotted woodpecker,0.41,30.38,21
Dumfries & Galloway,Tree sparrow,0.39,7.42,22
Dumfries & Galloway,Common gull,0.35,5.74,23
Dumfries & Galloway,Brambling,0.33,10.89,24
Dumfries & Galloway,Yellowhammer,0.32,9.33,25
Dumfries & Galloway,Wren,0.31,24.01,26
Dumfries & Galloway,Nuthatch,0.31,22.01,27
Dumfries & Galloway,Song.Thrush,0.22,16.13,28
Dumfries & Galloway,Fieldfare,0.18,2.99,29
Dumfries & Galloway,Lapwing,0.12,0.12,30
Dumfries & Galloway,Jay,0.11,6.46,31
Dumfries & Galloway,Bullfinch,0.1,5.14,32
Dumfries & Galloway,Buzzard,0.1,6.94,33
Dumfries & Galloway,Black headed gull,0.09,2.15,34
Dumfries & Galloway,Herring gull,0.09,1.67,35
Dumfries & Galloway,Magpie,0.08,3.3,36
Dumfries & Galloway,Sparrowhawk,0.07,7.42,37
Dumfries & Galloway,Reed bunting,0.07,2.87,38
Dumfries & Galloway,Treecreeper,0.07,5.86,39
Dumfries & Galloway,Mallard,0.05,1.08,40
Dumfries & Galloway,Pied wagtail,0.04,2.87,41
Dumfries & Galloway,Redwing,0.04,1.08,42
Dumfries & Galloway,Red legged partridge,0.04,0,43
Dumfries & Galloway,Grey heron,0.04,3.23,44
Dumfries & Galloway,Hooded crow,0.04,1.32,45
Dumfries & Galloway,Redpoll,0.04,1.67,46
Dumfries & Galloway,Goldcrest,0.03,1.79,47
Dumfries & Galloway,Lesser spotted woodpecker,0.03,1.91,48
Dumfries & Galloway,Red Kite,0.03,2.27,49
Dumfries & Galloway,Stock dove,0.03,1.08,50
Dumfries & Galloway,Mistle thrush,0.02,2.15,51
Dumfries & Galloway,Linnet,0.02,0.96,52
Dumfries & Galloway,Raven,0.02,0.96,53
Dumfries & Galloway,Ring necked parakeet,0.02,0.96,54
Dumfries & Galloway,Waxwing,0.02,0.36,55
Dumfries & Galloway,Moorhen,0.02,1.08,56
Dumfries & Galloway,Willow tit,0.01,0.72,57
Dumfries & Galloway,Great black backed gull,0.01,0.36,58
Dumfries & Galloway,Tawny owl,0.01,1.08,59
Dumfries & Galloway,Barn owl,0.01,0.96,60
Dumfries & Galloway,Blackcap,0.01,0.84,61
Dumfries & Galloway,Kestrel,0.01,0.6,62
Dumfries & Galloway,Chiffchaff,0.01,0.36,63
Dumfries & Galloway,Marsh tit,0.01,0.48,64
Dumfries & Galloway,Corn bunting,0,0.24,65
Dumfries & Galloway,Grey wagtail,0,0.24,66
Dumfries & Galloway,Lesser black backed gull,0,0.24,67
Dumfries & Galloway,Green woodpecker,0,0.12,68
Dumfries & Galloway,Little owl,0,0.12,69
Dumfries & Galloway,Black redstart,0,0,70
Dumfries & Galloway,Grey partridge,0,0,71
Dumfries & Galloway,Meadow pipit,0,0,72
Dumfries & Galloway,Skylark,0,0,73
Dundee City,House Sparrow,4.75,68.07,1
Dundee City,Blackbird,3.41,1.41,2
Dundee City,Starling,3.05,34.39,3
Dundee City,Blue Tit,2.26,74.74,4
Dundee City,Woodpigeon,2.02,75.09,5
Dundee City,Feral pigeon,1.54,32.27,6
Dundee City,Chaffinch,1.44,44.91,7
Dundee City,Coal Tit,1.29,54.04,8
Dundee City,Robin,1.18,81.05,9
Dundee City,Dunnock,1.07,48.42,10
Dundee City,Goldfinch,0.96,23.64,11
Dundee City,Great Tit,0.78,37.89,12
Dundee City,Collared Dove,0.64,26.32,13
Dundee City,Carrion crow,0.64,30.45,14
Dundee City,Long tailed tit,0.55,10.91,15
Dundee City,Common gull,0.52,11.82,16
Dundee City,Greenfinch,0.48,18.95,17
Dundee City,Fieldfare,0.47,3.64,18
Dundee City,Ring necked parakeet,0.22,2.73,19
Dundee City,Black headed gull,0.22,5.91,20
Dundee City,Herring gull,0.22,5.45,21
Dundee City,Waxwing,0.22,1.82,22
Dundee City,Siskin,0.14,5.45,23
Dundee City,Wren,0.12,8.64,24
Dundee City,Song.Thrush,0.1,7.27,25
Dundee City,Bullfinch,0.09,6.36,26
Dundee City,Tree sparrow,0.09,2.27,27
Dundee City,Magpie,0.07,3.86,28
Dundee City,Yellowhammer,0.07,2.73,29
Dundee City,Redpoll,0.07,1.82,30
Dundee City,Brambling,0.05,1.82,31
Dundee City,Sparrowhawk,0.05,4.55,32
Dundee City,Great spotted woodpecker,0.04,3.64,33
Dundee City,Jackdaw,0.04,1.82,34
Dundee City,Pied wagtail,0.04,2.27,35
Dundee City,Goldcrest,0.03,2.73,36
Dundee City,Jay,0.03,1.36,37
Dundee City,Stock dove,0.02,0.91,38
Dundee City,Blackcap,0.02,1.36,39
Dundee City,Buzzard,0.02,1.36,40
Dundee City,Rook,0.02,0.91,41
Dundee City,Kestrel,0.01,1.36,42
Dundee City,Chiffchaff,0.01,0.45,43
Dundee City,Great black backed gull,0.01,0.45,44
Dundee City,Grey heron,0.01,0.45,45
Dundee City,Grey wagtail,0.01,0.45,46
Dundee City,Hooded crow,0.01,0.91,47
Dundee City,Linnet,0.01,0.45,48
Dundee City,Mistle thrush,0.01,0.91,49
Dundee City,Pheasant,0.01,0.91,50
Dundee City,Barn owl,0,0.45,51
Dundee City,Lesser spotted woodpecker,0,0.45,52
Dundee City,Moorhen,0,0.45,53
Dundee City,Raven,0,0.45,54
Dundee City,Tawny owl,0,0.45,55
Dundee City,Treecreeper,0,0.45,56
Dundee City,Black redstart,0,0,57
Dundee City,Corn bunting,0,0,58
Dundee City,Green woodpecker,0,0,59
Dundee City,Grey partridge,0,0,60
Dundee City,Lapwing,0,0,61
Dundee City,Lesser black backed gull,0,0,62
Dundee City,Little owl,0,0,63
Dundee City,Mallard,0,0,64
Dundee City,Marsh tit,0,0,65
Dundee City,Meadow pipit,0,0,66
Dundee City,Nuthatch,0,0,67
Dundee City,Red Kite,0,0,68
Dundee City,Red legged partridge,0,0,69
Dundee City,Redwing,0,0,70
Dundee City,Reed bunting,0,0,71
Dundee City,Skylark,0,0,72
Dundee City,Willow tit,0,0,73
East Ayrshire,House Sparrow,7.1,80.58,1
East Ayrshire,Chaffinch,6.02,78.48,2
East Ayrshire,Starling,4.6,53.54,3
East Ayrshire,Blackbird,2.82,93.96,4
East Ayrshire,Blue Tit,2.77,79.79,5
East Ayrshire,Jackdaw,1.91,33.33,6
East Ayrshire,Great Tit,1.78,60.89,7
East Ayrshire,Feral pigeon,1.63,27.15,8
East Ayrshire,Coal Tit,1.59,58.53,9
East Ayrshire,Robin,1.49,91.34,10
East Ayrshire,Long tailed tit,1.26,20.89,11
East Ayrshire,Collared Dove,1.24,49.87,12
East Ayrshire,Carrion crow,1.24,32.65,13
East Ayrshire,Dunnock,1.22,50.13,14
East Ayrshire,Goldfinch,1.06,22.6,15
East Ayrshire,Woodpigeon,0.88,29.4,16
East Ayrshire,Magpie,0.73,38.06,17
East Ayrshire,Greenfinch,0.64,25.98,18
East Ayrshire,Common gull,0.41,6.53,19
East Ayrshire,Siskin,0.33,9.62,20
East Ayrshire,Wren,0.3,22.26,21
East Ayrshire,Rook,0.26,5.84,22
East Ayrshire,Yellowhammer,0.26,5.5,23
East Ayrshire,Great spotted woodpecker,0.24,19.24,24
East Ayrshire,Pheasant,0.21,8.93,25
East Ayrshire,Song.Thrush,0.21,13.36,26
East Ayrshire,Fieldfare,0.17,1.72,27
East Ayrshire,Tree sparrow,0.15,4.47,28
East Ayrshire,Pied wagtail,0.1,5.15,29
East Ayrshire,Brambling,0.09,4.47,30
East Ayrshire,Bullfinch,0.09,4.81,31
East Ayrshire,Grey wagtail,0.09,2.06,32
East Ayrshire,Sparrowhawk,0.08,7.22,33
East Ayrshire,Black headed gull,0.06,1.37,34
East Ayrshire,Redpoll,0.06,1.72,35
East Ayrshire,Buzzard,0.05,3.78,36
East Ayrshire,Waxwing,0.05,0.34,37
East Ayrshire,Treecreeper,0.05,4.12,38
East Ayrshire,Grey heron,0.04,3.44,39
East Ayrshire,Linnet,0.04,1.72,40
East Ayrshire,Reed bunting,0.03,0.69,41
East Ayrshire,Raven,0.03,1.03,42
East Ayrshire,Hooded crow,0.03,1.37,43
East Ayrshire,Lesser spotted woodpecker,0.03,2.41,44
East Ayrshire,Mallard,0.03,0.69,45
East Ayrshire,Mistle thrush,0.03,1.37,46
East Ayrshire,Jay,0.02,1.37,47
East Ayrshire,Kestrel,0.02,1.72,48
East Ayrshire,Nuthatch,0.02,1.37,49
East Ayrshire,Chiffchaff,0.01,0.34,50
East Ayrshire,Herring gull,0.01,0.69,51
East Ayrshire,Lapwing,0.01,0.34,52
East Ayrshire,Marsh tit,0.01,0.34,53
East Ayrshire,Stock dove,0.01,0.69,54
East Ayrshire,Blackcap,0.01,1.03,55
East Ayrshire,Goldcrest,0.01,0.69,56
East Ayrshire,Great black backed gull,0.01,0.34,57
East Ayrshire,Tawny owl,0.01,0.69,58
East Ayrshire,Willow tit,0.01,0.34,59
East Ayrshire,Barn owl,0,0.34,60
East Ayrshire,Moorhen,0,0.34,61
East Ayrshire,Ring necked parakeet,0,0.34,62
East Ayrshire,Black redstart,0,0,63
East Ayrshire,Corn bunting,0,0,64
East Ayrshire,Green woodpecker,0,0,65
East Ayrshire,Grey partridge,0,0,66
East Ayrshire,Lesser black backed gull,0,0,67
East Ayrshire,Little owl,0,0,68
East Ayrshire,Meadow pipit,0,0,69
East Ayrshire,Red Kite,0,0,70
East Ayrshire,Red legged partridge,0,0,71
East Ayrshire,Redwing,0,0,72
East Ayrshire,Skylark,0,0,73
East Dunbartonshire,Woodpigeon,2.7,86.63,1
East Dunbartonshire,House Sparrow,2.3,50.09,2
East Dunbartonshire,Blue Tit,2.17,77.78,3
East Dunbartonshire,Blackbird,2.17,88.32,4
East Dunbartonshire,Starling,2.12,37.66,5
East Dunbartonshire,Chaffinch,1.96,52.73,6
East Dunbartonshire,Feral pigeon,1.49,30.27,7
East Dunbartonshire,Robin,1.34,89.08,8
East Dunbartonshire,Magpie,1.26,58.38,9
East Dunbartonshire,Great Tit,1.06,51.6,10
East Dunbartonshire,Coal Tit,1.05,51.98,11
East Dunbartonshire,Dunnock,0.95,53.11,12
East Dunbartonshire,Jackdaw,0.82,23.49,13
East Dunbartonshire,Carrion crow,0.67,28.57,14
East Dunbartonshire,Long tailed tit,0.66,13.32,15
East Dunbartonshire,Goldfinch,0.59,16.46,16
East Dunbartonshire,Collared Dove,0.49,21.85,17
East Dunbartonshire,Greenfinch,0.44,16.38,18
East Dunbartonshire,Siskin,0.42,11.86,19
East Dunbartonshire,Rook,0.23,4.6,20
East Dunbartonshire,Wren,0.16,13.8,21
East Dunbartonshire,Song.Thrush,0.14,11.14,22
East Dunbartonshire,Common gull,0.13,5.33,23
East Dunbartonshire,Pheasant,0.12,4.6,24
East Dunbartonshire,Bullfinch,0.11,4.6,25
East Dunbartonshire,Brambling,0.07,2.66,26
East Dunbartonshire,Great spotted woodpecker,0.07,5.81,27
East Dunbartonshire,Waxwing,0.07,0.48,28
East Dunbartonshire,Black headed gull,0.06,0.97,29
East Dunbartonshire,Fieldfare,0.03,1.45,30
East Dunbartonshire,Reed bunting,0.03,1.94,31
East Dunbartonshire,Goldcrest,0.02,1.69,32
East Dunbartonshire,Stock dove,0.02,0.97,33
East Dunbartonshire,Yellowhammer,0.02,1.45,34
East Dunbartonshire,Mistle thrush,0.02,1.69,35
East Dunbartonshire,Sparrowhawk,0.02,1.69,36
East Dunbartonshire,Tree sparrow,0.02,0.48,37
East Dunbartonshire,Treecreeper,0.02,1.69,38
East Dunbartonshire,Pied wagtail,0.02,1.45,39
East Dunbartonshire,Hooded crow,0.01,0.97,40
East Dunbartonshire,Mallard,0.01,0.24,41
East Dunbartonshire,Buzzard,0.01,0.48,42
East Dunbartonshire,Grey heron,0.01,0.48,43
East Dunbartonshire,Jay,0.01,0.48,44
East Dunbartonshire,Redpoll,0.01,0.48,45
East Dunbartonshire,Great black backed gull,0.01,0.24,46
East Dunbartonshire,Herring gull,0.01,0.48,47
East Dunbartonshire,Kestrel,0.01,0.48,48
East Dunbartonshire,Lesser black backed gull,0.01,0.24,49
East Dunbartonshire,Grey wagtail,0,0.48,50
East Dunbartonshire,Moorhen,0,0.24,51
East Dunbartonshire,Barn owl,0,0.24,52
East Dunbartonshire,Blackcap,0,0.24,53
East Dunbartonshire,Linnet,0,0.24,54
East Dunbartonshire,Nuthatch,0,0.24,55
East Dunbartonshire,Raven,0,0.24,56
East Dunbartonshire,Black redstart,0,0,57
East Dunbartonshire,Chiffchaff,0,0,58
East Dunbartonshire,Corn bunting,0,0,59
East Dunbartonshire,Green woodpecker,0,0,60
East Dunbartonshire,Grey partridge,0,0,61
East Dunbartonshire,Lapwing,0,0,62
East Dunbartonshire,Lesser spotted woodpecker,0,0,63
East Dunbartonshire,Little owl,0,0,64
East Dunbartonshire,Marsh tit,0,0,65
East Dunbartonshire,Meadow pipit,0,0,66
East Dunbartonshire,Red Kite,0,0,67
East Dunbartonshire,Red legged partridge,0,0,68
East Dunbartonshire,Redwing,0,0,69
East Dunbartonshire,Ring necked parakeet,0,0,70
East Dunbartonshire,Skylark,0,0,71
East Dunbartonshire,Tawny owl,0,0,72
East Dunbartonshire,Willow tit,0,0,73
East Lothian,House Sparrow,5.97,72.32,1
East Lothian,Chaffinch,3.24,62.45,2
East Lothian,Starling,3.04,40.34,3
East Lothian,Blackbird,3.02,94.21,4
East Lothian,Blue Tit,2.95,84.12,5
East Lothian,Woodpigeon,2.11,68.45,6
East Lothian,Goldfinch,2.02,33.42,7
East Lothian,Coal Tit,1.5,61.8,8
East Lothian,Great Tit,1.35,56.01,9
East Lothian,Robin,1.27,84.76,10
East Lothian,Long tailed tit,1.24,23.91,11
East Lothian,Collared Dove,1.13,46.35,12
East Lothian,Dunnock,1.1,56.87,13
East Lothian,Feral pigeon,0.98,22.68,14
East Lothian,Tree sparrow,0.77,12.3,15
East Lothian,Greenfinch,0.76,27.04,16
East Lothian,Magpie,0.67,34.76,17
East Lothian,Jackdaw,0.63,18.31,18
East Lothian,Carrion crow,0.58,23.77,19
East Lothian,Brambling,0.44,11.48,20
East Lothian,Common gull,0.36,8.2,21
East Lothian,Pheasant,0.29,14.21,22
East Lothian,Wren,0.28,20.92,23
East Lothian,Herring gull,0.27,5.74,24
East Lothian,Siskin,0.24,8.47,25
East Lothian,Great spotted woodpecker,0.19,15.85,26
East Lothian,Waxwing,0.19,1.91,27
East Lothian,Song.Thrush,0.19,12.77,28
East Lothian,Fieldfare,0.16,2.19,29
East Lothian,Rook,0.14,3.28,30
East Lothian,Bullfinch,0.12,6.01,31
East Lothian,Sparrowhawk,0.09,8.2,32
East Lothian,Black headed gull,0.08,2.46,33
East Lothian,Yellowhammer,0.07,3.28,34
East Lothian,Redpoll,0.07,2.73,35
East Lothian,Pied wagtail,0.06,2.46,36
East Lothian,Buzzard,0.06,3.83,37
East Lothian,Redwing,0.06,0.82,38
East Lothian,Red legged partridge,0.06,0,39
East Lothian,Nuthatch,0.05,3.83,40
East Lothian,Mallard,0.04,0.55,41
East Lothian,Blackcap,0.04,3.28,42
East Lothian,Treecreeper,0.03,3.01,43
East Lothian,Lapwing,0.03,0.27,44
East Lothian,Grey partridge,0.02,0.55,45
East Lothian,Hooded crow,0.02,1.09,46
East Lothian,Mistle thrush,0.02,2.19,47
East Lothian,Reed bunting,0.02,0.55,48
East Lothian,Lesser black backed gull,0.02,0.55,49
East Lothian,Chiffchaff,0.01,0.27,50
East Lothian,Goldcrest,0.01,0.82,51
East Lothian,Kestrel,0.01,1.37,52
East Lothian,Grey wagtail,0.01,0.82,53
East Lothian,Jay,0.01,1.09,54
East Lothian,Linnet,0.01,0.55,55
East Lothian,Moorhen,0.01,0.55,56
East Lothian,Stock dove,0.01,0.55,57
East Lothian,Barn owl,0.01,0.82,58
East Lothian,Green woodpecker,0.01,0.27,59
East Lothian,Grey heron,0.01,0.55,60
East Lothian,Lesser spotted woodpecker,0.01,0.82,61
East Lothian,Raven,0.01,0.27,62
East Lothian,Ring necked parakeet,0,0.27,63
East Lothian,Tawny owl,0,0.27,64
East Lothian,Black redstart,0,0,65
East Lothian,Corn bunting,0,0,66
East Lothian,Great black backed gull,0,0,67
East Lothian,Little owl,0,0,68
East Lothian,Marsh tit,0,0,69
East Lothian,Meadow pipit,0,0,70
East Lothian,Red Kite,0,0,71
East Lothian,Skylark,0,0,72
East Lothian,Willow tit,0,0,73
East Renfrewshire,Starling,2.75,44.24,1
East Renfrewshire,Blue Tit,2.17,76.7,2
East Renfrewshire,Blackbird,2.17,88.48,3
East Renfrewshire,House Sparrow,1.97,48.17,4
East Renfrewshire,Chaffinch,1.93,50.79,5
East Renfrewshire,Woodpigeon,1.92,69.37,6
East Renfrewshire,Magpie,1.49,64.14,7
East Renfrewshire,Feral pigeon,1.29,33.1,8
East Renfrewshire,Robin,1.28,83.51,9
East Renfrewshire,Great Tit,1.24,50.52,10
East Renfrewshire,Jackdaw,1.15,32.39,11
East Renfrewshire,Coal Tit,1.12,52.62,12
East Renfrewshire,Carrion crow,1.04,31.69,13
East Renfrewshire,Dunnock,0.96,51.31,14
East Renfrewshire,Long tailed tit,0.69,12.37,15
East Renfrewshire,Collared Dove,0.68,30.63,16
East Renfrewshire,Greenfinch,0.64,20.94,17
East Renfrewshire,Goldfinch,0.52,15.55,18
East Renfrewshire,Siskin,0.43,10.56,19
East Renfrewshire,Rook,0.23,6.69,20
East Renfrewshire,Common gull,0.18,5.63,21
East Renfrewshire,Bullfinch,0.18,7.75,22
East Renfrewshire,Fieldfare,0.17,4.93,23
East Renfrewshire,Song.Thrush,0.16,13.78,24
East Renfrewshire,Wren,0.16,14.13,25
East Renfrewshire,Brambling,0.14,4.93,26
East Renfrewshire,Great spotted woodpecker,0.11,8.8,27
East Renfrewshire,Pheasant,0.09,2.11,28
East Renfrewshire,Ring necked parakeet,0.08,1.41,29
East Renfrewshire,Redpoll,0.06,2.46,30
East Renfrewshire,Tree sparrow,0.06,2.11,31
East Renfrewshire,Hooded crow,0.05,1.76,32
East Renfrewshire,Mistle thrush,0.04,3.52,33
East Renfrewshire,Grey heron,0.03,2.11,34
East Renfrewshire,Sparrowhawk,0.03,3.17,35
East Renfrewshire,Black headed gull,0.03,0.7,36
East Renfrewshire,Linnet,0.02,0.35,37
East Renfrewshire,Reed bunting,0.02,1.06,38
East Renfrewshire,Yellowhammer,0.02,0.7,39
East Renfrewshire,Blackcap,0.01,1.06,40
East Renfrewshire,Buzzard,0.01,1.06,41
East Renfrewshire,Goldcrest,0.01,1.41,42
East Renfrewshire,Herring gull,0.01,1.06,43
East Renfrewshire,Mallard,0.01,0.35,44
East Renfrewshire,Grey wagtail,0.01,0.7,45
East Renfrewshire,Kestrel,0.01,0.7,46
East Renfrewshire,Pied wagtail,0.01,1.06,47
East Renfrewshire,Treecreeper,0.01,1.06,48
East Renfrewshire,Chiffchaff,0.01,0.35,49
East Renfrewshire,Green woodpecker,0.01,0.35,50
East Renfrewshire,Lesser black backed gull,0.01,0.35,51
East Renfrewshire,Lesser spotted woodpecker,0.01,0.7,52
East Renfrewshire,Barn owl,0,0.35,53
East Renfrewshire,Raven,0,0.35,54
East Renfrewshire,Waxwing,0,0.35,55
East Renfrewshire,Black redstart,0,0,56
East Renfrewshire,Corn bunting,0,0,57
East Renfrewshire,Great black backed gull,0,0,58
East Renfrewshire,Grey partridge,0,0,59
East Renfrewshire,Jay,0,0,60
East Renfrewshire,Lapwing,0,0,61
East Renfrewshire,Little owl,0,0,62
East Renfrewshire,Marsh tit,0,0,63
East Renfrewshire,Meadow pipit,0,0,64
East Renfrewshire,Moorhen,0,0,65
East Renfrewshire,Nuthatch,0,0,66
East Renfrewshire,Red Kite,0,0,67
East Renfrewshire,Red legged partridge,0,1.06,68
East Renfrewshire,Redwing,0,0,69
East Renfrewshire,Skylark,0,0,70
East Renfrewshire,Stock dove,0,0,71
East Renfrewshire,Tawny owl,0,0,72
East Renfrewshire,Willow tit,0,0,73
East Sussex,House Sparrow,3.43,58.09,1
East Sussex,Blue Tit,3.29,85.06,2
East Sussex,Starling,2.62,42.83,3
East Sussex,Blackbird,2.29,89.12,4
East Sussex,Woodpigeon,1.98,72.24,5
East Sussex,Great Tit,1.45,56.01,6
East Sussex,Chaffinch,1.35,45.01,7
East Sussex,Robin,1.26,80.65,8
East Sussex,Collared Dove,1.24,50.18,9
East Sussex,Magpie,1.12,54.29,10
East Sussex,Goldfinch,1.03,23.35,11
East Sussex,Jackdaw,0.99,23.6,12
East Sussex,Feral pigeon,0.99,22.78,13
East Sussex,Long tailed tit,0.99,22.86,14
East Sussex,Dunnock,0.78,42.71,15
East Sussex,Carrion crow,0.71,27.5,16
East Sussex,Greenfinch,0.58,20.85,17
East Sussex,Common gull,0.49,10.86,18
East Sussex,Coal Tit,0.49,27.4,19
East Sussex,Herring gull,0.48,10.75,20
East Sussex,Song.Thrush,0.38,31.52,21
East Sussex,Ring necked parakeet,0.36,1.48,22
East Sussex,Nuthatch,0.28,19.36,23
East Sussex,Wren,0.25,21.03,24
East Sussex,Great spotted woodpecker,0.24,18.2,25
East Sussex,Pheasant,0.23,9.53,26
East Sussex,Fieldfare,0.23,5.49,27
East Sussex,Jay,0.22,15.24,28
East Sussex,Rook,0.16,4.32,29
East Sussex,Pied wagtail,0.13,9.61,30
East Sussex,Siskin,0.11,2.93,31
East Sussex,Mallard,0.1,1.31,32
East Sussex,Tree sparrow,0.1,2.62,33
East Sussex,Black headed gull,0.09,1.96,34
East Sussex,Blackcap,0.07,5.77,35
East Sussex,Bullfinch,0.07,3.95,36
East Sussex,Moorhen,0.06,2.87,37
East Sussex,Green woodpecker,0.05,4.29,38
East Sussex,Marsh tit,0.05,3.21,39
East Sussex,Redpoll,0.04,1.14,40
East Sussex,Goldcrest,0.04,2.76,41
East Sussex,Mistle thrush,0.03,2.64,42
East Sussex,Sparrowhawk,0.03,3.01,43
East Sussex,Reed bunting,0.03,0.82,44
East Sussex,Grey wagtail,0.03,2.13,45
East Sussex,Lesser spotted woodpecker,0.02,1.82,46
East Sussex,Treecreeper,0.02,1.93,47
East Sussex,Stock dove,0.02,0.94,48
East Sussex,Buzzard,0.02,1.31,49
East Sussex,Yellowhammer,0.02,0.57,50
East Sussex,Willow tit,0.01,1,51
East Sussex,Grey heron,0.01,1.39,52
East Sussex,Raven,0.01,0.2,53
East Sussex,Waxwing,0.01,0.2,54
East Sussex,Chiffchaff,0.01,0.71,55
East Sussex,Brambling,0.01,0.57,56
East Sussex,Lapwing,0.01,0.17,57
East Sussex,Great black backed gull,0.01,0.17,58
East Sussex,Kestrel,0.01,0.57,59
East Sussex,Red legged partridge,0,0.09,60
East Sussex,Redwing,0,0.2,61
East Sussex,Linnet,0,0.28,62
East Sussex,Lesser black backed gull,0,0.06,63
East Sussex,Barn owl,0,0.2,64
